img_path,z
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000212.png,0.03745
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000218.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000243.png,0.02961
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000255.png,0.002882
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000281.png,0.03834
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000282.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000451.png,0.01761
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000548.png,0.0181
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000635.png,0.03035
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000639.png,5.953
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000647.png,0.002887
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000670.png,0.05996
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000825.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0000963.png,0.01317
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001058.png,0.0394
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001221.png,0.02745
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001224.png,0.02714
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001237.png,0.03668
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001293.png,0.01756
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001306.png,0.01697
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001309.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001478.png,0.01756
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001523.png,0.01775
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001621.png,0.03732
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001713.png,0.013
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001747.png,0.0614
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001781.png,0.002533
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001805.png,0.05886
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001841.png,0.01176
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001862.png,0.01803
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001909.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001932.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001933.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0001936.png,0.01793
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002016.png,0.00669
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002035.png,0.01247
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002076.png,0.02066
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002149.png,0.01972
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002151.png,0.01669
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002182.png,0.01964
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002269.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002288.png,0.01791
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002331.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002332.png,0.02039
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002352.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002357.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002365.png,0.01386
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002388.png,0.01469
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002391.png,0.01631
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002440.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002482.png,0.01315
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002501.png,0.05538
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002522.png,0.01821
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002527.png,0.01792
